SPECIMEN_REFERENCE_DNA_NO,RECEIVED_SCALES,RECEIVED_DNA,RECEIVED_OTOLITH,READ_SCALES,READ_DNA,READ_OTOLITH,OTOLITH_LAB_NUMBER,SCALE_SUBMISSION_NUMBER,PROGRAM,BIOKEY,ID2,FISH_NO,AREA_NAME,REFERENCE_NO,YEAR,MONTH,COLLECTION_DATE,DAYOFYEAR,SAMPLE_TYPE,AREA,SUBAREA,FISHING_LOCATION,SAMPLER_NAME,SAMPLER_TYPE,SAMPLER_ID,LANDING_SITE,GUIDED,SPECIES,DISPOSITION,SIZE_CAT,ADIPOSE_FIN_CLIPPED,LENGTH_MM,MGMT_SIZE_3,MGMT_SIZE_2,SEX,RESOLVED_STOCK_ORIGIN,RESOLVED_STOCK_ROLLUP,RESOLVED_STOCK_SOURCE,HATCHERY_ORIGIN,RESOLVED_AGE,OTOLITH_BOX,OTOLITH_SPECIMEN,FACILITY,THERMALMARK,OTO_STOCK,OTOLITH_RESOLVED_RESULT,SCALE_BOOK,SCALE_NO,SCALE_SOURCE,SCALE_FORMAT,AGE_GR,PART_AGE_CODE,CWT_HEAD_LABEL,CWT_RESULT,CWT_REGION,CWT_BROOD_YEAR,DNA_CONTAINER_TYPE,PBT_BROOD_YEAR,PBT_SEX,RESOLVED_STOCK_REGION,DNA_RESULTS_STOCK_1,REGION_1_NAME,REGION_1_ROLLUP,PROB_1,DNA_STOCK_2,REGION_2_NAME,REGION_2_ROLLUP,PROB_2,DNA_STOCK_3,REGION_3_NAME,REGION_3_ROLLUP,PROB_3,DNA_STOCK_4,REGION_4_NAME,REGION_4_ROLLUP,PROB_4,DNA_STOCK_5,REGION_5_NAME,REGION_5_ROLLUP,PROB_5,PHOTO_NO,COMMENTS,Size Class
192181,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149450808,TRUE,TRUE,,,2023,June,2023-06-01 00:00:00,152,Sport,19,19A,Wain Rock,Todd McIntyre,Guide,1568,Logbook,Y,124,Release Cond 1,N/A,Y,440,sub legal,sub legal,Unk,Cowichan River,ECVI Fall,DNA,Y,,,,,,,,1041555,1,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,ECVI Fall,COWICHAN_RIVER,Cowichan River,ECVI Fall,0.9995705,LITTLE_QUALICUM_RIVER,Little Qualicum River,ECVI Fall,0.0003162,QUALICUM_RIVER,Big Qualicum River,ECVI Fall,0.0001065,QUALICUM_RIVER,Puntledge River,ECVI Fall,0.0000049,QUALICUM_RIVER,Nanaimo River,ECVI Fall,0.0000017,,,Sub-Legal
192182,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149450909,TRUE,TRUE,,,2023,June,2023-06-01 00:00:00,152,Sport,19,19A,Wain Rock,Todd McIntyre,Guide,1568,Logbook,Y,124,Release Cond 3,N/A,N,330,sub legal,sub legal,Unk,Nooksack River,Puget Sound,DNA,,,,,,,,,1041555,2,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,NOOKSACK_RIVER,Nooksack River,Puget Sound,0.9999989,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0000011,,,,,,,,,,,,,,,Sub-Legal
192183,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149451010,TRUE,TRUE,,,2023,June,2023-06-01 00:00:00,152,Sport,19,19A,Wain Rock,Todd McIntyre,Guide,1568,Logbook,Y,124,Release Cond 2,N/A,Y,315,sub legal,sub legal,Unk,Cowichan River,ECVI Fall,DNA,Y,,,,,,,,1041555,3,SPORT FISHERY,,,,,,,,Whatman,2021,presumed_female,ECVI Fall,COWICHAN_RIVER,Cowichan River,ECVI Fall,1,,,,,,,,,,,,,,,,,,,Sub-Legal
192184,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149460101,TRUE,TRUE,,,2023,June,2023-06-01 00:00:00,152,Sport,19,19A,Wain Rock,Todd McIntyre,Guide,1568,Logbook,Y,124,Release Cond 1,N/A,N,340,sub legal,sub legal,Unk,Cowichan River,ECVI Fall,DNA,,,,,,,,,1041555,4,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,ECVI Fall,COWICHAN_RIVER,Cowichan River,ECVI Fall,0.9997108,QUALICUM_RIVER,Big Qualicum River,ECVI Fall,0.0001366,PUNTLEDGE_RIVER_FALL,Puntledge River,ECVI Fall,0.0000892,PUNTLEDGE_RIVER_FALL,Little Qualicum River,ECVI Fall,0.0000618,PUNTLEDGE_RIVER_FALL,Nanaimo River,ECVI Fall,0.0000015,,,Sub-Legal
192185,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149460202,TRUE,TRUE,,,2023,June,2023-06-01 00:00:00,152,Sport,19,19A,Wain Rock,Todd McIntyre,Guide,1568,Logbook,Y,124,Release Cond 1,N/A,N,340,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,,,,,,,,,1041555,5,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.9793591,GREEN_RIVER-KENDAL,"Green River ""Fall Run""",Puget Sound,0.0142662,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0063726,GREEN_RIVER,Snohomish River,Puget Sound,0.0000021,GREEN_RIVER,,,,,,Sub-Legal
192186,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149460303,TRUE,TRUE,,,2023,June,2023-06-01 00:00:00,152,Sport,19,19A,Wain Rock,Todd McIntyre,Guide,1568,Logbook,Y,124,Release Cond 1,N/A,N,350,sub legal,sub legal,Unk,Cowichan River,ECVI Fall,DNA,,,,,,,,,1041555,6,SPORT FISHERY,,,,,,,,Whatman,0,male,ECVI Fall,COWICHAN_RIVER,Cowichan River,ECVI Fall,0.9917449,LITTLE_QUALICUM_RIVER,Little Qualicum River,ECVI Fall,0.0072441,QUALICUM_RIVER,Big Qualicum River,ECVI Fall,0.0009875,QUALICUM_RIVER,Nanaimo River,ECVI Fall,0.0000134,QUALICUM_RIVER,Puntledge River,ECVI Fall,0.00001,,,Sub-Legal
192187,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149460404,TRUE,TRUE,,,2023,June,2023-06-01 00:00:00,152,Sport,19,19A,Wain Rock,Todd McIntyre,Guide,1568,Logbook,Y,124,Release Cond 1,N/A,Y,380,sub legal,sub legal,Unk,Soos Creek Hatchery,Puget Sound,DNA,Y,,,,,,,,1041555,7,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.976457,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0192182,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0042492,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000647,SNOHOMISH_RIVER,,,0.0000073,,,Sub-Legal
192188,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149460505,TRUE,TRUE,,,2023,June,2023-06-01 00:00:00,152,Sport,19,19A,Wain Rock,Todd McIntyre,Guide,1568,Logbook,Y,124,Release Cond 1,N/A,Y,360,sub legal,sub legal,Unk,Nooksack River,Puget Sound,DNA,Y,,,,,,,,1041555,8,SPORT FISHERY,,,,,,,,Whatman,0,male,Puget Sound,NOOKSACK_RIVER,Nooksack River,Puget Sound,0.9113432,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.0460784,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.0415099,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0008793,SNOHOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000995,,,Sub-Legal
192189,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149460606,TRUE,TRUE,,,2023,June,2023-06-01 00:00:00,152,Sport,18,18A,Bold Bluff Pt.,Todd McIntyre,Guide,1568,Logbook,Y,124,Release Cond 1,N/A,N,490,sub legal,sub legal,Unk,Snohomish River,Puget Sound,DNA,,,,,,,,,1041555,9,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.6972857,SOOS_CREEK,Soos Creek Hatchery,Puget Sound,0.2695075,GREEN_RIVER,"Green River ""Fall Run""",Puget Sound,0.0326525,GREEN_RIVER,Skykomish River,Puget Sound,0.0002677,GREEN_RIVER,White River,Puget Sound,0.0001699,,,Sub-Legal
192190,Y,Y,N/A,N/S,N/S,N/A,,,Georgia Strait,19680149460707,TRUE,TRUE,,,2023,June,2023-06-01 00:00:00,152,Sport,18,18A,Bold Bluff Pt.,Todd McIntyre,Guide,1568,Logbook,Y,124,Release Cond 1,N/A,N,600,sub legal,sub legal,Unk,Snohomish River,Puget Sound,DNA,,,,,,,,,1041555,10,SPORT FISHERY,,,,,,,,Whatman,0,presumed_female,Puget Sound,SNOHOMISH_RIVER,Snohomish River,Puget Sound,0.9106965,NOOKSACK_RIVER,Nooksack River,Puget Sound,0.0489735,SKYKOMISH_RIVER,Skykomish River,Puget Sound,0.0402023,SKYKOMISH_RIVER,"Green River ""Fall Run""",Puget Sound,0.0000852,SKYKOMISH_RIVER,Soos Creek Hatchery,Puget Sound,0.0000425,,,Sub-Legal
