"stock","region1name","stock_group"
"SALMON_RIVER_CA_SPRING","California_Coast","other"
"CHUCKWALLA","Central_Coast","other"
"FEATHER_RIVER_FALL","Central_Valley_fa","other"
"STANISLAUS_RIVER","Central_Valley_fa","other"
"MERCED_RIVER","Central_Valley_fa","other"
"BATTLE_CREEK","Central_Valley_fa","other"
"BUTTE_CREEK_FALL","Central_Valley_fa","other"
"MOK R FISH INS","Central_Valley_fa","other"
"YUBA_RIVER_FALL","Central_Valley_fa","other"
"AMERICAN_RIVER","Central_Valley_fa","other"
"FEATHER R HATCHERY","Central_Valley_fa","other"
"YUBA_RIVER_SPRING","Central_Valley_fa","other"
"YUBA_RIVER._FALL","Central_Valley_fa","other"
"CLEAR_CR_H","Central_Valley_fa","other"
"NIMBUS FISH HATCHERY","Central_Valley_fa","other"
"FEATHER_H_FA","Central_Valley_fa","other"
"STANISLAUS_R","Central_Valley_fa","other"
"BATTLE_CR","Central_Valley_fa","other"
"BUTTE_F","Central_Valley_fa","other"
"FEATHER_RIVER_SPRING","Central_Valley_sp","other"
"FEATHER_H_SP","Central_Valley_sp","other"
"BLUE_CREEK_CA","Klamath_R","other"
"TRINITY_RIVER_HATCHERY_FALL","Klamath_R","other"
"KLAMATH_R_FA","Klamath_R","other"
"SMITH_RIVER_UMPQUA","Mid_Oregon_Coast","other"
"SIUSLAW_RIVER","Mid_Oregon_Coast","other"
"UMPQUA_SPRING","Mid_Oregon_Coast","other"
"ELK R HATCHERY","Mid_Oregon_Coast","other"
"SALMON R HATCHERY","Mid_Oregon_Coast","other"
"SMITH_RIVER__UMPQUA","Mid_Oregon_Coast","other"
"SMITH_RIVER_(UMPQUA)","Mid_Oregon_Coast","other"
"MILLICOMA_R","Mid_Oregon_Coast","other"
"ALSEA_R","Mid_Oregon_Coast","other"
"S_UMPQUA_H","Mid_Oregon_Coast","other"
"COOS_H","Mid_Oregon_Coast","other"
"UMPQUA_SP","Mid_Oregon_Coast","other"
"ELK_H","Mid_Oregon_Coast","other"
"SIXES_R","Mid_Oregon_Coast","other"
"KILBELLA_RIVER","NOMN","other"
"NUSATSUM_RIVER","NOMN","other"
"SALLOOMT_RIVER","NOMN","other"
"ATNARKO","NOMN","other"
"HIRSCH","NOMN","other"
"U_ATNARKO","NOMN","other"
"KITLOPE","NOMN","other"
